Product_name,Price,Date
Fashion Mens Long Sleeve Shirts Casual Sweatshirts Sport,KSh 980,2023-04-26
Fashion Mens Boots Safety Boots Fashion Mens Shoes Boots Outdoor Hiking Boots -Khaki,"KSh 2,230",2023-04-26
Fashion Men's Casual Long Sleeve Shirts Trendy Sweatshirts - Red,KSh 880,2023-04-26
Fashion Men's Tooling High-top Platform Martin Boots,"KSh 1,699 - KSh 1,799",2023-04-26
Fashion Men's Boots Warm Mountaineering Boots Men's Shoes,"KSh 1,273 - KSh 1,399",2023-04-26
Fashion Knitted Beaines Skullies Beanies Bonnet--Navy Blue,KSh 795,2023-04-26
Generic Ultra-thin Wireless Mouse 2.4G Rechargeable,KSh 590,2023-04-26
Oraimo Senior BT5.0 Single Wireless Bluetooth Headsets,KSh 625,2023-04-26
Generic Bluetooth Wireless Earphones Headset Call Earbuds,KSh 519,2023-04-26
Generic LED 2.4G Rechargeable Wireless Mouse,KSh 660,2023-04-26
Oraimo Silver Edition Smart Watch 1.69'' IPS Screen IP68,"KSh 3,920",2023-04-26
T&G Wireless Bluetooth Speaker With Phone Holder-Black,"KSh 1,049",2023-04-26
Oraimo Riff Smaller For Comfort True Wireless Earbuds - White,"KSh 2,330",2023-04-26
Qcy T13 Bluetooth Headsets BT 5.1 Noise Canceling Earphones IPX5 Waterproof True Wireless 4-Mic & ENC Headphone 40H Battery Life,"KSh 2,099",2023-04-26
Generic Micro SD Memory Card - 32GB - Black,KSh 537,2023-04-26
Generic Bluetooth Wireless Earphones Sound Headsets Noise Cancelling HD Binaural Call Earbuds MiNi,KSh 689,2023-04-26
Qcy T1C Bluetooth Earphones Wireless HIFI Stereo 20 Hours Battery Life,"KSh 1,399",2023-04-26
Fashion Waterproof Kids Smart Watch SOS Antil-lost Baby,"KSh 1,540",2023-04-26
Generic Smartwatch 1.5 Inch Touchscreen Fitness Watch For Women,"KSh 1,495",2023-04-26
Generic I Watch Series 5 Full Touch Sports Smart Watch,"KSh 1,590",2023-04-26
Generic U3 64GB Phone SD Memory Driving Recorder TF Card,KSh 639,2023-04-26
